,NB_ADD_SAMPLES,NB_ALL_AUTO_SAMPLES,FRAC_ALL_AUTO_SAMPLES_IN_TRAINING,SCORE_ADD_SAMPLES,AVG_CONF_ADD_SAMPLES,SCORE_ALL_AUTO_SAMPLES,AVG_CONF_ALL_AUTO_SAMPLES,ITER
0,4.0,4.0,0.00966183574879227,1.0,1.0,1.0,1.0,0.0
1,8.0,12.0,0.027777777777777776,0.875,1.0,0.9166666666666666,1.0,1.0
2,10.0,22.0,0.04867256637168142,0.8,1.0,0.8636363636363636,1.0,2.0
3,10.0,32.0,0.06779661016949153,0.9,1.0,0.875,1.0,3.0
4,10.0,42.0,0.08536585365853659,0.7,1.0,0.8333333333333334,1.0,4.0
5,10.0,52.0,0.1015625,0.7,1.0,0.8076923076923077,1.0,5.0
6,10.0,62.0,0.11654135338345865,0.7,1.0,0.7903225806451613,1.0,6.0
7,10.0,72.0,0.13043478260869565,0.6,1.0,0.7638888888888888,1.0,7.0
8,10.0,82.0,0.14335664335664336,0.9,1.0,0.7804878048780488,1.0,8.0
9,10.0,92.0,0.1554054054054054,1.0,1.0,0.8043478260869565,1.0,9.0
10,10.0,102.0,0.16666666666666666,0.6,1.0,0.7843137254901961,1.0,10.0
11,10.0,112.0,0.17721518987341772,0.8,1.0,0.7857142857142857,1.0,11.0
12,10.0,122.0,0.18711656441717792,0.7,1.0,0.7786885245901639,1.0,12.0
13,10.0,132.0,0.19642857142857145,0.8,1.0,0.7803030303030303,1.0,13.0
14,10.0,142.0,0.2052023121387284,0.8,1.0,0.7816901408450704,1.0,14.0
15,10.0,152.0,0.21348314606741567,0.5,1.0,0.7631578947368421,1.0,15.0
16,10.0,162.0,0.22131147540983606,0.8,1.0,0.7654320987654321,1.0,16.0
17,10.0,172.0,0.22872340425531915,1.0,1.0,0.7790697674418605,1.0,17.0
18,10.0,182.0,0.2357512953367876,0.8,1.0,0.7802197802197802,1.0,18.0
19,10.0,192.0,0.2424242424242425,1.0,1.0,0.7916666666666666,1.0,19.0
20,10.0,202.0,0.24876847290640394,0.9,1.0,0.7970297029702971,1.0,20.0
21,10.0,212.0,0.2548076923076923,0.7,1.0,0.7924528301886793,1.0,21.0
22,10.0,222.0,0.2605633802816901,0.6,1.0,0.7837837837837838,1.0,22.0
23,10.0,232.0,0.26605504587155965,0.6,1.0,0.7758620689655172,1.0,23.0
24,10.0,242.0,0.2713004484304933,0.3,1.0,0.756198347107438,1.0,24.0
25,10.0,252.0,0.27631578947368424,0.6,1.0,0.75,1.0,25.0
26,10.0,262.0,0.2811158798283262,0.8,1.0,0.7519083969465649,1.0,26.0
27,10.0,272.0,0.2857142857142857,0.8,1.0,0.7536764705882353,1.0,27.0
28,10.0,282.0,0.2901234567901235,0.6,1.0,0.74822695035461,1.0,28.0
29,10.0,292.0,0.29435483870967744,0.8,1.0,0.75,1.0,29.0
30,10.0,302.0,0.2984189723320158,0.8,1.0,0.7516556291390728,1.0,30.0
31,10.0,312.0,0.3023255813953488,0.6,1.0,0.7467948717948718,1.0,31.0
32,10.0,322.0,0.3060836501901141,0.9,1.0,0.7515527950310559,1.0,32.0
33,10.0,332.0,0.30970149253731344,0.6,1.0,0.7469879518072289,1.0,33.0
34,10.0,342.0,0.3131868131868132,0.7,1.0,0.7456140350877193,1.0,34.0
35,10.0,352.0,0.31654676258992803,0.2,1.0,0.7301136363636364,1.0,35.0
36,10.0,362.0,0.3197879858657244,0.6,1.0,0.7265193370165746,1.0,36.0
37,10.0,372.0,0.3229166666666667,0.3,1.0,0.7150537634408602,1.0,37.0
38,10.0,382.0,0.32593856655290104,0.5,1.0,0.7094240837696335,1.0,38.0
39,10.0,392.0,0.3288590604026846,0.4,1.0,0.7015306122448979,1.0,39.0
40,10.0,402.0,0.3316831683168317,0.7,1.0,0.7014925373134329,1.0,40.0
41,10.0,412.0,0.3344155844155844,0.7,1.0,0.7014563106796117,1.0,41.0
42,10.0,422.0,0.3370607028753993,0.6,1.0,0.6990521327014217,1.0,42.0
43,10.0,432.0,0.33962264150943394,0.5,1.0,0.6944444444444444,1.0,43.0
44,10.0,442.0,0.34210526315789475,0.5,1.0,0.6900452488687783,1.0,44.0
45,10.0,452.0,0.3445121951219512,0.2,1.0,0.6792035398230089,1.0,45.0
46,10.0,462.0,0.3468468468468469,0.3,1.0,0.670995670995671,1.0,46.0
47,10.0,472.0,0.34911242603550297,0.8,1.0,0.673728813559322,1.0,47.0
48,10.0,482.0,0.3513119533527697,0.4,1.0,0.6680497925311203,1.0,48.0
49,10.0,492.0,0.3534482758620689,0.7,1.0,0.6686991869918699,1.0,49.0
50,10.0,502.0,0.3555240793201133,0.2,1.0,0.6593625498007968,1.0,50.0
51,10.0,512.0,0.3575418994413408,0.5,1.0,0.65625,1.0,51.0
52,10.0,522.0,0.359504132231405,0.5,1.0,0.6532567049808429,1.0,52.0
53,10.0,532.0,0.3614130434782609,0.5,1.0,0.650375939849624,1.0,53.0
54,10.0,542.0,0.3632707774798928,0.6,1.0,0.6494464944649446,1.0,54.0
55,10.0,552.0,0.36507936507936506,0.3,1.0,0.6431159420289855,1.0,55.0
56,10.0,562.0,0.3668407310704961,0.6,1.0,0.6423487544483986,1.0,56.0
57,10.0,572.0,0.3685567010309279,0.5,1.0,0.6398601398601399,1.0,57.0
58,10.0,582.0,0.3702290076335878,0.7,1.0,0.6408934707903781,1.0,58.0
59,10.0,592.0,0.3718592964824121,0.5,1.0,0.6385135135135135,1.0,59.0
60,10.0,602.0,0.3734491315136477,0.6,1.0,0.6378737541528239,1.0,60.0
61,10.0,612.0,0.375,0.5,1.0,0.6356209150326797,1.0,61.0
62,10.0,622.0,0.3765133171912833,0.5,1.0,0.6334405144694534,1.0,62.0
63,10.0,632.0,0.3779904306220096,0.4,1.0,0.629746835443038,1.0,63.0
64,10.0,642.0,0.3794326241134752,0.6,1.0,0.6292834890965732,1.0,64.0
65,10.0,652.0,0.3808411214953271,0.5,1.0,0.6273006134969326,1.0,65.0
66,10.0,662.0,0.3822170900692841,0.6,1.0,0.6268882175226587,1.0,66.0
67,10.0,672.0,0.3835616438356164,0.8,1.0,0.6294642857142857,1.0,67.0
68,10.0,682.0,0.3848758465011287,1.0,1.0,0.6348973607038123,1.0,68.0
69,10.0,692.0,0.3861607142857143,0.6,1.0,0.634393063583815,1.0,69.0
70,10.0,702.0,0.3874172185430464,1.0,1.0,0.6396011396011396,1.0,70.0
71,10.0,712.0,0.3886462882096071,1.0,1.0,0.6446629213483146,1.0,71.0
72,10.0,722.0,0.3898488120950324,1.0,1.0,0.6495844875346259,1.0,72.0
73,10.0,732.0,0.39102564102564097,0.8,1.0,0.6516393442622951,1.0,73.0
74,10.0,742.0,0.3921775898520085,0.8,1.0,0.6536388140161725,1.0,74.0
75,10.0,752.0,0.393305439330544,0.8,1.0,0.6555851063829787,1.0,75.0
76,10.0,762.0,0.3944099378881988,1.0,1.0,0.6601049868766404,1.0,76.0
77,10.0,772.0,0.39549180327868855,1.0,1.0,0.6645077720207254,1.0,77.0
78,10.0,782.0,0.3965517241379311,1.0,1.0,0.6687979539641944,1.0,78.0
79,10.0,792.0,0.3975903614457832,0.8,1.0,0.6704545454545454,1.0,79.0
80,10.0,802.0,0.3986083499005964,0.9,1.0,0.6733167082294265,1.0,80.0
81,10.0,812.0,0.3996062992125984,1.0,1.0,0.6773399014778325,1.0,81.0
82,10.0,822.0,0.40058479532163743,0.8,1.0,0.6788321167883211,1.0,82.0
83,10.0,832.0,0.4015444015444015,1.0,1.0,0.6826923076923077,1.0,83.0
84,10.0,842.0,0.4024856596558317,0.7,1.0,0.6828978622327792,1.0,84.0
85,10.0,852.0,0.4034090909090909,0.8,1.0,0.6842723004694836,1.0,85.0
86,10.0,862.0,0.4043151969981239,1.0,1.0,0.6879350348027842,1.0,86.0
87,10.0,872.0,0.4052044609665427,0.7,1.0,0.6880733944954128,1.0,87.0
88,10.0,882.0,0.4060773480662984,0.9,1.0,0.6904761904761905,1.0,88.0
89,10.0,892.0,0.40693430656934304,0.9,1.0,0.6928251121076233,1.0,89.0
90,10.0,902.0,0.4077757685352622,1.0,1.0,0.6962305986696231,1.0,90.0
91,10.0,912.0,0.4086021505376344,1.0,1.0,0.6995614035087719,1.0,91.0
92,10.0,922.0,0.40941385435168737,0.6,1.0,0.6984815618221258,1.0,92.0
93,10.0,932.0,0.4102112676056338,0.9,1.0,0.7006437768240343,1.0,93.0
94,10.0,942.0,0.4109947643979058,0.7,1.0,0.7006369426751592,1.0,94.0
95,10.0,952.0,0.4117647058823529,0.8,1.0,0.7016806722689075,1.0,95.0
96,10.0,962.0,0.4125214408233276,0.8,1.0,0.7027027027027027,1.0,96.0
97,10.0,972.0,0.41326530612244894,0.8,1.0,0.7037037037037037,1.0,97.0
98,10.0,982.0,0.4139966273187184,0.9,1.0,0.7057026476578412,1.0,98.0
99,10.0,992.0,0.4147157190635452,1.0,1.0,0.7086693548387096,1.0,99.0
100,10.0,1002.0,0.4154228855721393,0.7,1.0,0.7085828343313373,1.0,100.0
101,10.0,1012.0,0.4161184210526316,0.7,1.0,0.708498023715415,1.0,100.0
102,10.0,1022.0,0.4168026101141925,0.7,1.0,0.7084148727984344,1.0,101.0
103,10.0,1032.0,0.4174757281553398,0.4,1.0,0.7054263565891473,1.0,102.0
104,10.0,1042.0,0.41813804173354735,0.4,1.0,0.7024952015355086,1.0,103.0
105,10.0,1052.0,0.4187898089171975,0.5,1.0,0.7005703422053232,1.0,104.0
106,10.0,1062.0,0.4194312796208531,0.2,1.0,0.6958568738229756,1.0,105.0
107,10.0,1072.0,0.4200626959247649,0.0,1.0,0.6893656716417911,1.0,106.0
108,10.0,1082.0,0.4206842923794713,0.3,1.0,0.6857670979667283,1.0,107.0
109,9.0,1091.0,0.4210729448089541,0.0,1.0,0.6801099908340972,1.0,108.0
110,4.0,1095.0,0.4203454894433781,0.25,1.0,0.6785388127853881,1.0,109.0
111,2.0,1097.0,0.41918226977455103,0.0,1.0,0.6773017319963537,1.0,110.0
112,1.0,1098.0,0.4178082191780822,1.0,1.0,0.6775956284153005,1.0,111.0
113,1.0,1099.0,0.4164456233421751,0.0,0.9999999999999956,0.6769790718835305,1.0,112.0
114,1.0,1100.0,0.4150943396226415,1.0,1.0,0.6772727272727272,1.0,113.0
115,1.0,1101.0,0.4137542277339346,0.0,1.0,0.6766575840145322,1.0,114.0
116,1.0,1102.0,0.4124251497005988,0.0,1.0,0.6760435571687841,1.0,115.0
117,1.0,1103.0,0.4111069698099143,0.0,1.0,0.6754306436990027,1.0,116.0
118,1.0,1104.0,0.4097995545657016,1.0,1.0,0.6757246376811594,1.0,117.0
119,1.0,1105.0,0.4085027726432533,0.0,1.0,0.6751131221719457,1.0,118.0
120,1.0,1106.0,0.4072164948453608,0.0,1.0,0.674502712477396,1.0,119.0
121,1.0,1107.0,0.405940594059406,0.0,1.0,0.6738934056007226,1.0,120.0
122,1.0,1108.0,0.40467494521548575,0.0,0.9999999999999808,0.6732851985559567,0.9999999999999998,121.0
123,1.0,1109.0,0.4034194252455439,0.0,1.0,0.6726780883678989,0.9999999999999998,122.0
124,1.0,1110.0,0.4021739130434783,1.0,1.0,0.672972972972973,0.9999999999999998,123.0
125,1.0,1111.0,0.4009382894261999,0.0,1.0,0.6723672367236724,0.9999999999999998,124.0
126,2.0,1113.0,0.3999281351060007,0.0,1.0,0.6711590296495957,0.9999999999999998,125.0
127,3.0,1116.0,0.3991416309012876,0.3333333333333333,1.0,0.6702508960573477,0.9999999999999998,126.0
128,1.0,1117.0,0.3979337370858568,0.0,0.9999999999999786,0.6696508504923904,0.9999999999999998,127.0
129,3.0,1120.0,0.3971631205673759,0.3333333333333333,1.0,0.66875,0.9999999999999998,128.0
130,4.0,1124.0,0.3966125617501765,0.25,1.0,0.6672597864768683,0.9999999999999998,129.0
131,10.0,1134.0,0.3973370707778556,0.0,1.0,0.6613756613756614,0.9999999999999998,130.0
132,10.0,1144.0,0.3980514961725818,0.0,1.0,0.6555944055944056,1.0,131.0
133,10.0,1154.0,0.39875604699378026,0.0,1.0,0.6499133448873483,1.0,132.0
134,10.0,1164.0,0.3994509265614276,0.0,1.0,0.6443298969072165,1.0,133.0
135,10.0,1174.0,0.4001363326516701,0.0,1.0,0.6388415672913118,0.9999999999999998,134.0
136,10.0,1184.0,0.4008124576844956,0.1,1.0,0.6342905405405406,0.9999999999999998,135.0
137,10.0,1194.0,0.4014794889038332,0.0,1.0,0.6289782244556114,0.9999999999999998,136.0
138,10.0,1204.0,0.4021376085504342,0.0,1.0,0.6237541528239202,1.0,137.0
139,10.0,1214.0,0.4027869940278699,0.2,1.0,0.6202635914332785,1.0,138.0
140,10.0,1224.0,0.4034278180619644,0.1,1.0,0.6160130718954249,1.0,139.0
141,10.0,1234.0,0.404060248853962,0.0,1.0,0.6110210696920584,1.0,140.0
142,10.0,1244.0,0.4046844502277163,0.1,1.0,0.6069131832797428,1.0,141.0
143,10.0,1254.0,0.40530058177116995,0.0,1.0,0.60207336523126,1.0,142.0
144,10.0,1264.0,0.4059087989723828,0.0,1.0,0.5973101265822784,1.0,143.0
145,10.0,1274.0,0.406509253350351,0.0,1.0,0.5926216640502355,0.9999999999999998,144.0
146,10.0,1284.0,0.4071020925808497,0.0,1.0,0.588006230529595,0.9999999999999998,145.0
147,10.0,1294.0,0.4076874606175173,0.0,1.0,0.5834621329211747,0.9999999999999998,146.0
148,10.0,1304.0,0.4082654978083907,0.0,1.0,0.5789877300613497,0.9999999999999998,147.0
149,10.0,1314.0,0.4088363410080896,0.0,1.0,0.5745814307458144,0.9999999999999998,148.0
150,10.0,1324.0,0.409400123685838,0.0,1.0,0.5702416918429003,0.9999999999999998,149.0
151,10.0,1334.0,0.40995697602950215,0.0,1.0,0.5659670164917541,0.9999999999999998,150.0
152,10.0,1344.0,0.4105070250458155,0.0,1.0,0.5617559523809523,0.9999999999999998,151.0
153,10.0,1354.0,0.411050394656952,0.0,1.0,0.5576070901033974,0.9999999999999998,152.0
154,10.0,1364.0,0.4115872057936029,0.0,1.0,0.5535190615835777,1.0,153.0
155,10.0,1374.0,0.41211757648470304,0.0,1.0,0.5494905385735079,1.0,154.0
156,10.0,1384.0,0.4126416219439476,0.0,1.0,0.5455202312138728,1.0,155.0
157,10.0,1394.0,0.41315945465323056,0.1,1.0,0.5423242467718795,1.0,156.0
158,10.0,1404.0,0.4136711844431349,0.0,1.0,0.5384615384615384,1.0,157.0
159,10.0,1414.0,0.4141769185705917,0.0,1.0,0.5346534653465347,1.0,158.0
160,10.0,1424.0,0.4146767617938265,0.0,1.0,0.5308988764044944,1.0,159.0
161,10.0,1434.0,0.4151708164447018,0.0,1.0,0.5271966527196653,1.0,160.0
162,10.0,1444.0,0.4156591824985608,0.0,1.0,0.5235457063711911,1.0,161.0
163,10.0,1454.0,0.41614195764167133,0.0,1.0,0.5199449793672627,1.0,162.0
164,10.0,1464.0,0.4166192373363688,0.0,1.0,0.5163934426229508,1.0,163.0
165,10.0,1474.0,0.41709111488398415,0.0,1.0,0.5128900949796472,1.0,164.0
166,10.0,1484.0,0.41755768148565003,0.0,1.0,0.5094339622641509,1.0,165.0
167,10.0,1494.0,0.4180190263010633,0.0,1.0,0.5060240963855421,1.0,166.0
168,10.0,1504.0,0.41847523650528656,0.0,1.0,0.5026595744680851,1.0,167.0
169,10.0,1514.0,0.4189263973436636,0.1,1.0,0.5,1.0,168.0
170,10.0,1524.0,0.4193725921849202,0.2,1.0,0.4980314960629921,1.0,169.0
171,10.0,1534.0,0.4198139025725233,0.0,1.0,0.4947848761408084,1.0,170.0
172,10.0,1544.0,0.4202504082743604,0.0,1.0,0.491580310880829,1.0,171.0
173,6.0,1550.0,0.42005420054200543,0.0,1.0,0.4896774193548387,1.0,172.0
174,4.0,1554.0,0.4195464362850972,0.0,1.0,0.4884169884169885,1.0,173.0
175,3.0,1557.0,0.4188861985472155,0.0,1.0,0.48747591522158,1.0,174.0
176,4.0,1561.0,0.4183864915572232,0.0,1.0,0.4862267777065983,1.0,175.0
177,1.0,1562.0,0.4174238375200428,0.0,1.0,0.4859154929577465,1.0,176.0
178,1.0,1563.0,0.416466826538769,0.0,0.9999999999999936,0.4856046065259117,1.0,177.0
179,1.0,1564.0,0.4155154091392136,0.0,1.0,0.4852941176470588,1.0,178.0
180,1.0,1565.0,0.4145695364238409,1.0,0.9999999999999932,0.4856230031948882,1.0,179.0
181,1.0,1566.0,0.41362916006339145,0.0,1.0,0.4853128991060026,1.0,180.0
182,1.0,1567.0,0.4126942322886489,0.0,1.0,0.4850031908104658,1.0,181.0
183,1.0,1568.0,0.4117647058823529,0.0,1.0,0.4846938775510204,1.0,182.0
184,1.0,1569.0,0.410840534171249,0.0,1.0,0.4843849585723391,1.0,183.0
185,1.0,1570.0,0.4099216710182768,0.0,1.0,0.4840764331210191,1.0,184.0
186,1.0,1571.0,0.4090080708148919,0.0,1.0,0.4837683004455761,1.0,185.0
187,1.0,1572.0,0.40809968847352013,0.0,1.0,0.4834605597964377,1.0,186.0
188,1.0,1573.0,0.4071964794201398,1.0,0.9999999999999876,0.4837889383343929,1.0,187.0
189,1.0,1574.0,0.4062983995869902,0.0,1.0,0.4834815756035578,1.0,188.0
190,1.0,1575.0,0.40540540540540543,0.0,1.0,0.4831746031746032,1.0,189.0
191,1.0,1576.0,0.404517453798768,0.0,1.0,0.4828680203045686,1.0,190.0
192,1.0,1577.0,0.4036345021755823,0.0,1.0,0.4825618262523779,1.0,191.0
193,1.0,1578.0,0.40275650842266464,0.0,1.0,0.482256020278834,1.0,192.0
194,1.0,1579.0,0.40188343089844747,0.0,1.0,0.4819506016466118,1.0,193.0
195,1.0,1580.0,0.4010152284263959,0.0,1.0,0.4816455696202532,1.0,194.0
196,1.0,1581.0,0.40015186028853456,1.0,1.0,0.4819734345351044,1.0,195.0
197,1.0,1582.0,0.3992932862190813,0.0,1.0,0.481668773704172,1.0,196.0
198,3.0,1585.0,0.3987421383647799,0.0,1.0,0.4807570977917981,1.0,197.0
199,1.0,1586.0,0.3978926241846463,0.0,1.0,0.480453972257251,1.0,198.0
200,1.0,1587.0,0.3970477858393796,0.0,1.0,0.4801512287334593,1.0,199.0
201,1.0,1588.0,0.3962075848303393,0.0,1.0,0.4798488664987405,1.0,200.0
202,1.0,1589.0,0.39537198308036825,0.0,0.9999999999999944,0.47954688483322844,0.9999999999999999,200.0
203,2.0,1591.0,0.3946911436368147,0.0,1.0,0.47894406033940917,0.9999999999999999,201.0
204,1.0,1592.0,0.3938644235526967,0.0,1.0,0.478643216080402,0.9999999999999999,202.0
205,1.0,1593.0,0.3930421909696521,0.0,1.0,0.4783427495291902,0.9999999999999999,203.0
206,1.0,1594.0,0.3922244094488189,0.0,1.0,0.4780426599749059,0.9999999999999999,204.0
207,1.0,1595.0,0.3914110429447853,1.0,1.0,0.47836990595611284,0.9999999999999999,205.0
208,1.0,1596.0,0.39060205580029367,0.0,1.0,0.4780701754385965,0.9999999999999999,206.0
209,1.0,1597.0,0.38979741274103,0.0,1.0,0.4777708202880401,0.9999999999999999,207.0
210,1.0,1598.0,0.3889970788704966,0.0,1.0,0.47747183979974966,0.9999999999999999,208.0
211,1.0,1599.0,0.38820101966496723,0.0,1.0,0.47717323327079425,0.9999999999999999,209.0
212,1.0,1600.0,0.387409200968523,0.0,0.9999999999999911,0.476875,0.9999999999999999,210.0
213,3.0,1603.0,0.3869176924933623,0.3333333333333333,1.0,0.47660636306924514,0.9999999999999999,211.0
214,1.0,1604.0,0.3861338468945595,0.0,1.0,0.4763092269326683,0.9999999999999999,212.0
215,1.0,1605.0,0.38535414165666265,0.0,1.0,0.47601246105919004,0.9999999999999999,213.0
216,1.0,1606.0,0.3845785440613027,0.0,0.9999999999999918,0.47571606475716066,0.9999999999999999,214.0
217,1.0,1607.0,0.3838070217339384,0.0,1.0,0.47542003733665217,0.9999999999999999,215.0
218,1.0,1608.0,0.3830395426393521,0.0,1.0,0.47512437810945274,0.9999999999999999,216.0
219,1.0,1609.0,0.3822760750772155,1.0,1.0,0.4754505904288378,0.9999999999999999,217.0
